Date,Open,High,Low,Close,Volume,Adj Close
2006-10-02,75.09999,75.869987,74.300032,74.860031,178159800,10.045499000000001
2006-10-03,74.449968,74.94998000000001,73.189973,74.08001999999999,197677200,9.940828999999999
2006-10-04,74.099967,75.459998,73.160012,75.37999,207270700,10.115272000000001
2006-10-05,74.529977,76.160001,74.13000100000001,74.82999699999999,170970800,10.041468
2006-10-06,74.420008,75.040002,73.810027,74.220023,116739700,9.959616
2006-10-09,73.80001999999999,75.07996899999999,73.530027,74.630013,109555600,10.014632
2006-10-10,74.53999,74.580031,73.07999699999999,73.810027,132897100,9.904598
2006-10-11,73.41999100000001,73.979991,72.600013,73.230007,142963800,9.826765
2006-10-12,73.60996899999999,75.39000300000001,73.600029,75.260007,148213800,10.099172
2006-10-13,75.63002900000001,76.88001700000001,74.739982,75.019981,171049200,10.066962
2006-10-16,75.190012,75.88000100000001,74.79003,75.40001,127173200,10.117958999999999
2006-10-17,75.040002,75.27002,74.039979,74.290018,120231300,9.969008
2006-10-18,74.749989,75.36998299999999,73.909989,74.529977,283476900,10.001208
2006-10-19,79.260018,79.950007,78.159973,78.990032,378244300,10.599705
2006-10-20,78.970012,79.989982,78.66999100000001,79.950007,159853400,10.728525
2006-10-23,79.989982,81.899999,79.750023,81.459982,208126800,10.931149000000001
2006-10-24,81.21001,81.679987,80.19998000000001,81.049993,115803100,10.876132
2006-10-25,81.350013,82.000028,81.010018,81.679987,121303700,10.960671000000001
2006-10-26,81.899999,82.600001,81.13000100000001,82.190012,108189200,11.029112
2006-10-27,81.749989,82.449991,80.010002,80.40997800000001,148741600,10.790248
2006-10-30,79.989982,80.899982,79.499977,80.41999100000001,124979400,10.791592
2006-10-31,81.449968,81.679987,80.230007,81.08001999999999,125368600,10.880161
2006-11-01,81.099967,81.37996700000001,78.360031,79.159989,152798100,10.622512
2006-11-02,78.92003100000001,79.320013,78.500028,78.980019,116370800,10.598361
2006-11-03,79.359981,79.530011,77.790018,78.29003,107972200,10.505772
2006-11-06,78.949991,80.059983,78.430033,79.709982,108644200,10.696316
2006-11-07,80.450019,81.000011,80.12997800000001,80.510007,131483100,10.803671000000001
2006-11-08,80.020009,82.690017,79.890019,82.449991,172729200,11.063999
2006-11-09,82.90002199999999,84.689989,82.12001,83.339972,230763400,11.183425
2006-11-10,83.54997,83.600018,82.499972,83.12003299999999,93466100,11.153912
2006-11-13,83.219989,84.45003,82.639969,84.350001,112668500,11.318961999999999
2006-11-14,84.800032,85.000023,83.899971,85.000023,147238700,11.406188
2006-11-15,85.04999699999999,85.90001,84.0,84.049981,163830800,11.278702000000001
2006-11-16,84.87003299999999,86.299993,84.619987,85.60999699999999,173485200,11.488041
2006-11-17,85.140019,85.939978,85.000023,85.850029,116606000,11.520251
2006-11-20,85.399999,86.999989,85.200007,86.470023,142698500,11.603448
2006-11-21,87.41999100000001,88.59997800000001,87.110031,88.59997800000001,155666700,11.889268
2006-11-22,88.990021,90.750028,87.850001,90.310011,167985300,12.118738
2006-11-24,89.53,93.079981,89.499972,91.63000100000001,129669400,12.295867999999999
2006-11-27,92.509968,93.159989,89.499972,89.540013,268709000,12.015412
2006-11-28,90.359992,91.969989,89.910028,91.809972,259043400,12.320018
2006-11-29,92.999972,93.149982,90.250023,91.800032,289270800,12.318684
2006-11-30,92.210021,92.679998,91.059988,91.660028,217621600,12.299897
2006-12-01,91.800032,92.32999699999999,90.100013,91.319967,198769900,12.254264
2006-12-04,91.87996700000001,92.04999699999999,90.499989,91.11998299999999,177384200,12.227428
2006-12-05,91.65002199999999,92.32999699999999,90.87001,91.269993,165709600,12.247558
2006-12-06,90.639992,91.389969,89.67000300000001,89.83001999999999,159546100,12.054328
2006-12-07,90.030011,90.499989,86.900033,87.04003,251206900,11.679938
2006-12-08,87.230007,89.39000300000001,86.999989,88.259991,196069300,11.843645
2006-12-11,88.899999,89.299981,88.049993,88.749989,124945100,11.909398
2006-12-12,88.609992,88.840011,85.529988,86.139969,256655000,11.559158
2006-12-13,87.95003,89.070029,87.149999,89.050009,214263000,11.949658
2006-12-14,89.050009,89.999977,88.259991,88.54999699999999,208082700,11.882561
2006-12-15,89.019981,89.219973,87.32996899999999,87.720012,184984800,11.771185000000001
2006-12-18,87.62999,88.000011,84.590027,85.47,180394200,11.469255
2006-12-19,84.73003,86.680021,83.61997099999999,86.309999,227851400,11.581975
2006-12-20,86.470023,86.670008,84.73997,84.759991,141922900,11.373978
2006-12-21,84.70000300000001,85.480007,82.200019,82.90002199999999,225899800,11.124388
2006-12-22,83.460021,84.039968,81.59997800000001,82.200019,153325900,11.030455
2006-12-26,82.149971,82.569967,80.889969,81.51003,122672200,10.937864999999999
2006-12-27,78.150033,82.000028,76.769981,81.51997,483938700,10.939199
2006-12-28,80.22,81.249977,79.649987,80.87002199999999,279969200,10.851982000000001
2006-12-29,83.950019,85.399999,83.359992,84.839999,269107300,11.384715
2007-01-03,86.289979,86.579992,81.899999,83.800009,309579900,11.245158
2007-01-04,84.049981,85.949991,83.820029,85.65997800000001,211815100,11.494748
2007-01-05,85.77002,86.20003,84.399982,85.04999699999999,208685400,11.412894
2007-01-08,85.959998,86.530011,85.280023,85.47,199276700,11.469255
2007-01-09,86.45000300000001,92.980019,85.150033,92.570029,837324600,12.422011
2007-01-10,94.749972,97.800009,93.45000300000001,96.999977,738220000,13.016467
2007-01-11,95.939973,96.779972,95.099967,95.79997,360063200,12.855438000000001
2007-01-12,94.59002199999999,95.059999,93.229991,94.61998299999999,328172600,12.697095
2007-01-16,95.679987,97.250023,95.449968,97.100013,311019100,13.029891000000001
2007-01-17,97.559983,97.600018,94.819967,94.95003,411565000,12.741384
2007-01-18,92.09997800000001,92.109992,89.050009,89.070029,591151400,11.952344
2007-01-19,88.630013,89.649982,88.119987,88.500023,341118400,11.875855
2007-01-22,89.14003100000001,89.15997800000001,85.649971,86.78999,363506500,11.646385
2007-01-23,85.72998,87.510007,85.509968,85.700019,301856100,11.500121
2007-01-24,86.680021,87.149999,86.079981,86.699968,231953400,11.634305
2007-01-25,87.110031,88.500023,86.03,86.250011,226493400,11.573925
2007-01-26,87.110031,87.37001,84.990009,85.37997800000001,246718500,11.457175
2007-01-29,86.299993,86.649987,85.529988,85.939978,225416100,11.532321000000001
2007-01-30,86.429982,86.48997,85.249989,85.550009,144492600,11.479991
2007-01-31,84.86001999999999,85.999972,84.350001,85.72998,214017300,11.504141
2007-02-01,86.229991,86.270032,84.73997,84.73997,166085500,11.371292
2007-02-02,84.11998299999999,85.249989,83.69998000000001,84.749977,155382500,11.372635
2007-02-05,84.30001999999999,85.229968,83.940012,83.940012,144713100,11.263945
2007-02-06,84.45003,84.469977,82.859981,84.15001,216098400,11.292125
2007-02-07,84.479991,86.38000100000001,83.54997,86.149982,266706300,11.560502
2007-02-08,85.430033,86.509991,85.410012,86.18001,169757700,11.564531
2007-02-09,85.87999,86.20003,83.209982,83.26997,215135200,11.174032
2007-02-12,84.43001,85.179987,83.62997800000001,84.87996700000001,181017900,11.390077999999999
2007-02-13,85.159973,85.29003,84.30001999999999,84.70000300000001,145246500,11.365928
2007-02-14,84.63000100000001,85.64003100000001,84.570013,85.29997,126995400,11.446438
2007-02-15,85.439973,85.62001,84.780011,85.210021,90915300,11.434368
2007-02-16,85.249989,85.410012,84.660028,84.829992,99967000,11.383372
2007-02-20,84.65002199999999,86.159989,84.16001700000001,85.90001,154425600,11.526958
2007-02-21,85.980019,89.490032,85.959998,89.200019,288828400,11.969788000000001
2007-02-22,90.800009,90.810022,88.529977,89.509979,209556200,12.011381
2007-02-23,89.15997800000001,90.339972,88.850018,89.070029,129473400,11.952344
2007-02-26,89.840027,89.999977,87.60996899999999,88.51003,153962200,11.877198
